id,name,project,created_at,updated_at
1,Social Studies,EGE,2024-04-10 10:28:33,2024-10-01 13:53:11
2,English,EGE,2024-04-10 10:29:48,2024-09-23 15:00:07
3,History,EGE,2024-04-10 10:41:31,2024-08-15 09:08:01
4,Russian,EGE,2024-04-10 10:43:29,2024-09-23 15:00:25
5,Physics,EGE,2024-04-10 10:44:27,2024-08-15 09:07:29
6,Chemistry,EGE,2024-04-10 10:45:41,2024-08-15 09:06:47
7,Literature,EGE,2024-04-10 10:46:22,2024-08-15 09:03:57
8,Mathematics,EGE,2024-04-10 10:48:02,2024-08-15 09:04:36
9,Basic Mathematics,EGE,2024-04-10 10:48:36,2024-08-15 09:06:13
10,Biology,EGE,2024-05-08 12:30:05,2024-08-15 09:03:20
11,Social Studies OGE,OGE,2024-06-21 13:20:32,2024-08-15 07:48:42
12,Russian OGE,OGE,2024-06-21 13:22:19,2024-08-15 07:47:34
13,Mathematics OGE,OGE,2024-06-21 13:24:13,2024-08-15 09:09:45
15,Biology OGE,OGE,2024-08-15 07:46:46,2024-09-17 13:49:02
